Category,Text
TRUE,அகந்தை
TRUE,அக்காரம்
TRUE,அங்கம்
FALSE,அசரீரி
TRUE,அஞ்ஞாதம்
TRUE,அதிட்டம்
TRUE,அத்திபாரம்
FALSE,அநாகதம்
TRUE,அநுட்டானம்
FALSE,அநுபோகம்
TRUE,அந்தம்
TRUE,அபகரித்தல்
FALSE,அபாயம்
TRUE,அபிப்பிராயம்
TRUE,அப்பிராணி
TRUE,அயச்செந்தூரம்
FALSE,அருவம்
TRUE,அலட்சியம்
FALSE,அவமானம்
FALSE,ஆகாயவிமானம்
FALSE,ஆசாமி
TRUE,ஆச்சரியம்
FALSE,ஆதாரம்
FALSE,ஆதிரம்
TRUE,ஆமோதித்தல்
FALSE,ஆரம்
FALSE,ஆவசியம்
FALSE,இடபம்
FALSE,இதரம்
FALSE,இரசம்
FALSE,இராஜஶ்ரீ
FALSE,இருதயம்
TRUE,இலட்சம்
FALSE,இலாகா
TRUE,ஈசுரநிச்சயம்
TRUE,உச்சரிப்பு
TRUE,உதித்தல்
FALSE,உபகரணம்
FALSE,உபாசனை
TRUE,உருத்திராக்கம்
TRUE,உற்சவம்
FALSE,ஏகதேசம்
FALSE,ஓமம்
FALSE,கஷ்டம்
TRUE,கந்துகம்
FALSE,கருணை
FALSE,கலியாணம்
FALSE,காரியஸ்தன்
TRUE,கிரகித்தல்
FALSE,கிருஷி
FALSE,குலசம்
TRUE,கும்பாபிஷேகம்
FALSE,கேலி
FALSE,சகடு
FALSE,சகோதரன்
TRUE,சங்கதி
TRUE,சஞ்சலம்
TRUE,சத்தியம்
TRUE,சந்திரன்
TRUE,சந்நியாசம்
TRUE,சமத்துவம்
FALSE,சமாதி
FALSE,சம்ஸாரம்
TRUE,சம்பூரணம்
FALSE,சரம்
FALSE,சலசாட்சி
TRUE,சாக்கிரதை
FALSE,சாதனம்
TRUE,சாந்தம்
FALSE,சாயை
FALSE,சிகரம்
FALSE,சிசுருஷை
FALSE,சிநேகிதம்
FALSE,சிரேஷ்டம்
FALSE,சீதளம்
FALSE,சுகம்
FALSE,சுரஸம்
